household_id,age,PNUM,sex,pemploy,pstudent,ptype,educ,soc2,is_student,school_segment,is_worker,is_internal_worker,is_external_worker,home_zone_id,time_factor_work,time_factor_nonwork,naics_code,occupation,work_from_home,is_out_of_home_worker,external_workplace_zone_id,external_workplace_location_logsum,external_workplace_modechoice_logsum,school_zone_id,school_location_logsum,school_modechoice_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_zone_id,workplace_location_logsum,workplace_modechoice_logsum,distance_to_work,work_zone_area_type,auto_time_home_to_work,roundtrip_auto_time_to_work,work_auto_savings,exp_daily_work,non_toll_time_work,toll_time_work,toll_dist_work,toll_cost_work,toll_travel_time_savings_work,transit_pass_subsidy,transit_pass_ownership,free_parking_at_work,telecommute_frequency,cdap_activity,travel_active,mandatory_tour_frequency,num_mand,num_work_tours,num_joint_tours,non_mandatory_tour_frequency,num_non_mand,num_escort_tours,num_eatout_tours,num_shop_tours,num_maint_tours,num_discr_tours,num_social_tours,num_add_shop_maint_tours,num_add_soc_discr_tours,person_id,miltary,grade,weeks,hours,race,hispanic
10,56.0,2.0,1,3,3,4,13,25.0,False,0,False,False,False,57,0.8451660619843273,1.3848601974782506,61,services,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,36,2,0,0,1,0,1,0,0,0,32,0,0,3,60,1,1
10,30.0,3.0,1,1,3,1,13,53.0,False,0,True,True,False,57,0.9289217429485888,1.6344777566941058,48,prod_trans_move,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,15998,11.252578275517807,-3.157735720816251,10.798662,6.0,23.808222,48.357006,0.0,0.0,23.808222,23.808222,0.0,0.0,0.0,0,0,False,4_days_week,N,True,null,0,0,0,1,1,0,0,0,0,1,0,0,0,33,0,0,1,40,1,1
11,56.0,1.0,2,2,3,2,13,37.0,False,0,True,True,False,57,0.8387381323543976,0.5445728256287186,81,services,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,23217,9.933283570190156,-2.25021270299605,6.558377,6.0,15.95939,32.808735,0.0,0.0,15.95939,14.932969,0.0,0.0,1.0264206,0,0,False,No_Telecommute,N,True,null,0,0,1,0,0,0,1,0,0,0,0,0,0,34,0,0,2,30,1,2
11,57.0,2.0,1,3,3,4,13,0.0,False,0,False,False,False,57,0.24900118859393727,0.470571244608368,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1,2
11,26.0,3.0,1,3,3,4,13,99.0,False,0,False,False,False,57,1.6656336541799908,0.895031843646734,99,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,1,2
12,61.0,1.0,1,1,3,1,13,11.0,False,0,True,True,False,57,2.7227543529792064,0.9093426355325669,53,mngt_busi_scic_arts,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,23926,8.734928606242738,-4.822927017283916,4.0493784,6.0,11.143742,22.498608,0.0,0.0,11.143742,11.143742,0.0,0.0,0.0,0,0,False,No_Telecommute,N,True,null,0,0,1,0,0,0,0,0,1,0,0,0,0,37,0,0,1,40,1,2
12,60.0,2.0,2,3,3,4,13,0.0,False,0,False,False,False,57,1.2748406919895194,0.9331358397712277,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,1,1,1,0,0,0,0,1,0,0,0,38,0,0,0,0,1,2
13,62.0,1.0,2,3,3,4,13,33.0,False,0,False,False,False,57,0.1585255809164628,2.3420875052544656,92,services,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,35,1,0,0,1,0,0,0,0,0,39,0,0,0,0,1,1
14,60.0,1.0,2,3,3,4,13,31.0,False,0,False,False,False,57,0.26265973175572255,1.3032465270754778,62,health,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,5,32,1,1
15,61.0,1.0,1,3,3,4,13,0.0,False,0,False,False,False,57,0.6807327532603286,1.0759168255114557,0,null,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,null,H,False,null,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1,1
16,49.0,1.0,1,1,3,1,13,55.0,False,0,True,True,False,100,0.9147267455055262,1.2118865980082962,9000,military,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,7369,10.305651570618418,-1.3571377844399632,3.0442617,6.0,6.833324,18.507454,0.0,0.0,6.833324,6.833324,0.0,0.0,0.0,0,0,True,No_Telecommute,N,True,null,0,0,1,0,0,0,1,0,0,0,0,0,0,42,1,0,1,40,1,2
16,49.0,2.0,2,3,3,4,13,13.0,False,0,False,False,False,100,4.378849145172304,0.5101088564370648,54,mngt_busi_scic_arts,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,1,90,2,1,0,0,0,1,0,0,0,43,0,0,0,0,1,2
16,26.0,3.0,1,3,2,3,13,0.0,True,4,False,False,False,100,0.8960024057647117,0.6980440531218941,0,null,False,False,-1,-9.0,-9.0,19370,7.075934132353805,-2.144125500591335,14.647748,36.38559,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,False,null,N,True,null,0,0,0,1,1,0,0,0,0,1,0,0,0,44,0,6,0,0,1,2
16,28.0,4.0,1,1,3,1,13,13.0,False,0,True,True,False,100,1.0132945562798326,0.2886799209946871,56,mngt_busi_scic_arts,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,24010,11.238023592051888,-2.166179859090217,5.1200643,6.0,13.845987,27.59097,0.0,0.0,13.845987,13.845987,0.0,0.0,0.0,0,1,True,2_3_days_week,N,True,null,0,0,1,0,0,0,0,0,0,0,0,0,0,45,0,0,1,40,1,2
17,49.0,1.0,1,1,3,1,13,55.0,False,0,True,True,False,100,1.1932056200610206,1.8421684395157902,9000,military,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,7369,9.920176371719048,-1.7676356468470662,3.0442617,6.0,6.833324,18.507454,0.0,0.0,6.833324,6.833324,0.0,0.0,0.0,1,0,False,No_Telecommute,M,True,work2,2,2,0,0,0,0,0,0,0,0,0,0,0,46,1,0,1,40,1,2
17,49.0,2.0,2,3,3,4,13,13.0,False,0,False,False,False,100,0.7442194850006267,1.7680599535435972,54,mngt_busi_scic_arts,False,False,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,N,True,null,0,0,0,12,1,0,0,0,1,0,0,0,0,47,0,0,0,0,1,2
17,26.0,3.0,1,3,2,3,13,0.0,True,4,False,False,False,100,0.44796213982243294,0.8110720766278843,0,null,False,False,-1,-9.0,-9.0,23114,7.3767909123493896,-0.488507497697688,6.9806004,22.060612,-1,-9.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,null,M,True,school1,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,6,0,0,1,2
17,28.0,4.0,1,1,3,1,13,13.0,False,0,True,True,False,100,0.9822809006465821,0.37361349910881875,56,mngt_busi_scic_arts,False,True,-1,-9.0,-9.0,-1,-9.0,-9.0,-9.0,0.0,13318,11.17367964009415,-6.045912061138032,29.901316,3.0,53.948524,106.73825,0.0,0.0,53.948524,53.74003,0.0,0.0,0.2084961,1,1,True,No_Telecommute,M,True,work1,1,1,0,0,0,0,0,0,0,0,0,0,0,49,0,0,1,40,1,2
