Expression,HHH,HHM,HHN,HMH,HMM,HMN,HNH,HNM,HNN,MHH,MHM,MHN,MMH,MMM,MMN,MNH,MNM,MNN,NHH,NHM,NHN,NMH,NMM,NMN,NNH,NNM,NNN,HMMJ,HMNJ,HNMJ,HNNJ,MHMJ,MHNJ,MMHJ,MMMJ,MMNJ,MNHJ,MNMJ,MNNJ,NHMJ,NHNJ,NMHJ,NMMJ,NMNJ,NNHJ,NNMJ,NNNJ
p1_p2==12,0.5879605906687824,0.5879605906687824,0.5879605906687824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1_p3==12,0.5879605906687824,0.0,0.0,0.5879605906687824,0.0,0.0,0.5879605906687824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2_p3==12,0.5879605906687824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879605906687824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5879605906687824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1_p2==13,0.5293653823036347,0.5293653823036347,0.5293653823036347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375987530484293,0.1375987530484293,0.1375987530484293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375987530484293,0.1375987530484293,0.1375987530484293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1_p3==13,0.5293653823036347,0.0,0.0,0.5293653823036347,0.0,0.0,0.5293653823036347,0.0,0.0,0.0,0.1375987530484293,0.0,0.0,0.1375987530484293,0.0,0.0,0.1375987530484293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375987530484293,0.0,0.0,0.1375987530484293,0.0,0.0,0.1375987530484293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2_p3==13,0.5293653823036347,0.0,0.0,0.0,0.1375987530484293,0.0,0.0,0.0,0.0,0.5293653823036347,0.0,0.0,0.0,0.1375987530484293,0.0,0.0,0.0,0.0,0.5293653823036347,0.0,0.0,0.0,0.1375987530484293,0.0,0.0,0.0,0.0,0.1375987530484293,0.0,0.0,0.0,0.0,0.0,0.0,0.1375987530484293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375987530484293,0.0,0.0,0.0,0.0
p1_p2==14,0.6121582837956262,0.6121582837956262,0.6121582837956262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1_p3==14,0.6121582837956262,0.0,0.0,0.6121582837956262,0.0,0.0,0.6121582837956262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2_p3==14,0.6121582837956262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6121582837956262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6121582837956262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p1_p2==15,0.785784651471339,0.785784651471339,0.785784651471339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3059631767785066,-0.3059631767785066,-0.3059631767785066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3059631767785066,-0.3059631767785066,-0.3059631767785066
