MAZ,taz
9114,1118
9117,1153
9118,1118
9161,1493
9907,686
9935,1331
9936,1288
10208,1848
10215,1700
10216,1620
10343,1010
10349,1221
10350,1119
10352,1136
10353,1076
10498,2029
10514,1012
10517,1012
10518,1012
10519,1012
10559,2186
10561,2067
10562,2064
10563,2064
10616,948
10629,1630
10630,1651
10631,1638
10632,1638
10633,1642
10634,1800
10635,1798
10636,1950
10637,1950
10638,1853
10639,1806
10640,1619
10641,1613
10642,1581
10643,1639
10644,1639
10645,1641
10646,1599
10647,1639
10648,1680
10649,1734
10650,1908
10651,2030
10652,2112
10653,1996
10654,1996
10655,2178
10657,1721
10658,1721
10659,1721
10660,1721
10661,1665
10662,1716
10663,1665
10664,1764
10665,1716
10666,1737
10667,1737
10668,1745
10669,1745
10670,1745
10671,1765
10672,1765
10673,1879
10674,1879
10675,1866
10676,1866
10677,1987
10678,1987
10679,1987
10680,1607
10681,1626
10682,1625
10683,1625
10684,1625
10685,1625
10702,2105
10703,2105
10704,2105
10725,2000
10726,1738
10727,1154
10728,1908
10729,1908
10730,2086
10731,1154
10732,2205
10733,2253
10734,2130
10735,2254
10834,1433
10853,510
10871,1405
10872,1490
10873,1415
10874,1415
10875,1361
10876,1423
10877,1423
10878,1423
10879,1423
10880,1423
10881,1423
10882,1423
10887,1415
10907,1368
10908,1368
10909,1368
10910,1368
10911,1266
10912,1266
10913,1363
10914,1319
10915,1319
10916,1354
10917,1319
10918,1308
10919,1308
10920,1447
10921,1370
10922,1442
10923,1442
10924,1569
10925,1561
10927,1569
10930,1509
10931,1310
10932,1310
10933,1310
10934,1282
10935,1142
10936,1428
10937,952
11050,810
11133,1602
11134,1562
11135,1592
11136,1592
11137,1592
11138,1574
11139,1598
11140,1594
11141,1666
11142,1666
11143,1666
11144,1666
11145,1666
11146,1666
11147,1652
11148,1637
11149,1704
11150,1758
11151,1704
11152,1706
11153,1722
11154,1722
11155,1766
11156,1766
11157,1660
11158,1586
11159,1586
11160,1586
11161,1594
11162,1588
11163,1588
11164,1556
11165,1556
11166,1556
11167,1539
11168,1539
11169,1556
11170,1502
11171,1554
11172,1554
11173,1554
11174,1508
11175,1518
11176,1554
11177,1492
11178,1518
11179,1518
11203,1508
11204,1475
11205,1508
11206,1475
11207,1431
11208,1403
11209,1403
11210,1403
11211,1403
11212,1376
11213,1448
11214,1448
11215,1448
11216,1448
11217,1448
11218,1448
11219,1470
11220,1470
11221,1521
11222,1521
11223,1521
11224,1521
11225,1376
11226,1376
11227,1419
11236,1348
11237,1348
11238,1348
11239,1348
11240,1250
11241,1250
11242,1348
11243,1485
11244,1520
11245,1381
11246,1457
11247,1476
11248,1338
11249,1457
11250,1457
11251,1338
11252,1250
11253,1250
11254,1136
11255,1136
11256,1167
11257,1167
11258,1167
11259,1167
11260,1114
11261,1129
11262,1051
11263,1051
11264,1051
11265,1084
11266,1010
11267,1068
11268,1068
11269,1119
11270,1229
11271,1229
11272,1264
11273,1264
11274,1264
11275,1202
11276,1202
11277,1202
11278,1202
11279,1160
11280,1160
11281,1381
11282,1502
11283,1449
11284,1449
11285,1502
11286,1502
11287,1449
11288,1449
11289,1356
11290,1356
11291,1356
11292,1305
11293,1344
11294,1191
11295,1045
11296,1045
11297,1105
11298,1137
11299,1137
11300,1137
11301,1227
11302,1188
11303,1182
11304,1227
11305,1227
11306,1281
11307,1320
11308,1320
11309,1320
11310,1277
11311,1277
11312,1277
11321,1569
11322,1544
11323,1561
11325,1569
11358,1888
11359,1888
11361,1693
11362,1357
11363,1357
11364,1367
11365,1435
11366,1454
11367,1507
11368,1591
11369,1591
11370,1454
11371,1454
11372,1494
11408,1580
11409,1568
11410,1780
11411,1596
11412,1596
11413,1596
11424,1561
11425,1509
11426,1509
11430,1029
11431,1198
11432,1256
11433,1256
11434,1175
11435,1035
11436,922
11437,1035
11438,1334
11439,1334
11440,1334
11441,1334
11456,954
11457,1023
11463,833
